goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0005886,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.,CC,plasma membrane,22,"TRINITY_DN37920_c0_g3_i1,TRINITY_DN37543_c0_g5_i1,TRINITY_DN38852_c1_g1_i12,TRINITY_DN38144_c0_g1_i3,TRINITY_DN38545_c0_g5_i2,TRINITY_DN35573_c2_g2_i5,TRINITY_DN30272_c0_g2_i3,TRINITY_DN33994_c1_g3_i4,TRINITY_DN34349_c3_g1_i1,TRINITY_DN29518_c1_g1_i1,TRINITY_DN29951_c4_g1_i1,TRINITY_DN38639_c3_g2_i1,TRINITY_DN38308_c1_g1_i11,TRINITY_DN38269_c0_g1_i2,TRINITY_DN37242_c1_g4_i1,TRINITY_DN33435_c3_g2_i1,TRINITY_DN27658_c1_g1_i1,TRINITY_DN31817_c5_g1_i4,TRINITY_DN27765_c3_g2_i17,TRINITY_DN39461_c1_g2_i1,TRINITY_DN31197_c5_g1_i1,TRINITY_DN34575_c3_g3_i1"
GO:0005887,The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC,integral component of plasma membrane,7,"TRINITY_DN36729_c3_g1_i3,TRINITY_DN35573_c2_g2_i7,TRINITY_DN36762_c3_g1_i6,TRINITY_DN29951_c4_g1_i1,TRINITY_DN38639_c3_g2_i3,TRINITY_DN33441_c5_g1_i4,TRINITY_DN33435_c3_g2_i1"
GO:0005903,"The dense covering of microvilli on the apical surface of a epithelial cells in tissues such as the intestine, kidney, and choroid plexus; the microvilli aid absorption by increasing the surface area of the cell.",CC,brush border,1,TRINITY_DN38592_c1_g2_i2
GO:0005911,A cell junction that forms a connection between two or more cells in a multicellular organism; excludes direct cytoplasmic junctions such as ring canals.,CC,cell-cell junction,1,TRINITY_DN38592_c1_g2_i2
GO:0005923,An occluding cell-cell junction that is composed of a branching network of sealing strands that completely encircles the apical end of each cell in an epithelial sheet; the outer leaflets of the two interacting plasma membranes are seen to be tightly apposed where sealing strands are present. Each sealing strand is composed of a long row of transmembrane adhesion proteins embedded in each of the two interacting plasma membranes.,CC,bicellular tight junction,1,TRINITY_DN29951_c4_g1_i1
GO:0005925,Small region on the surface of a cell that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments.,CC,focal adhesion,1,TRINITY_DN38592_c1_g2_i2
GO:0005929,"A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body.",CC,cilium,1,TRINITY_DN33236_c7_g5_i1
GO:0005938,"The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins.",CC,cell cortex,1,TRINITY_DN28635_c3_g1_i3
GO:0005975,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",BP,carbohydrate metabolic process,1,TRINITY_DN35002_c3_g1_i13
GO:0005978,"The chemical reactions and pathways resulting in the formation of glycogen, a polydisperse, highly branched glucan composed of chains of D-glucose residues.",BP,glycogen biosynthetic process,2,"TRINITY_DN34082_c0_g1_i5,TRINITY_DN32790_c0_g1_i1"
GO:0006004,"The chemical reactions and pathways involving fucose, or 6-deoxygalactose, which has two enantiomers, D-fucose and L-fucose.",BP,fucose metabolic process,1,TRINITY_DN30463_c6_g1_i5
GO:0006006,"The chemical reactions and pathways involving glucose, the aldohexose gluco-hexose. D-glucose is dextrorotatory and is sometimes known as dextrose; it is an important source of energy for living organisms and is found free as well as combined in homo- and hetero-oligosaccharides and polysaccharides.",BP,glucose metabolic process,1,TRINITY_DN34082_c0_g1_i5
GO:0006086,The chemical reactions and pathways resulting in the formation of acetyl-CoA from pyruvate.,BP,acetyl-CoA biosynthetic process from pyruvate,1,TRINITY_DN35317_c1_g2_i1
GO:0006096,"The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules.",BP,glycolytic process,1,TRINITY_DN35317_c1_g2_i1
GO:0006104,"The chemical reactions and pathways involving succinyl-CoA, a compound composed of the monovalent acyl group 3-carboxypropanoyl, derived from succinic acid by loss of one OH group, linked to coenzyme A.",BP,succinyl-CoA metabolic process,1,TRINITY_DN33250_c6_g2_i6
GO:0006189,"The chemical reactions and pathways resulting in the formation of IMP, inosine monophosphate, by the stepwise assembly of a purine ring on ribose 5-phosphate.",BP,'de novo' IMP biosynthetic process,1,TRINITY_DN34176_c2_g1_i4
GO:0006313,Any process involved in a type of transpositional recombination which occurs via a DNA intermediate.,BP,"transposition, DNA-mediated",1,TRINITY_DN37367_c1_g1_i2
GO:0006351,The cellular synthesis of RNA on a template of DNA.,BP,"transcription, DNA-templated",6,"TRINITY_DN39494_c1_g1_i6,TRINITY_DN29712_c3_g1_i1,TRINITY_DN28504_c4_g1_i3,TRINITY_DN35618_c0_g1_i5,TRINITY_DN36957_c0_g3_i10,TRINITY_DN36957_c0_g3_i8"
GO:0006355,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.",BP,"regulation of transcription, DNA-templated",5,"TRINITY_DN39494_c1_g1_i6,TRINITY_DN29712_c3_g1_i1,TRINITY_DN28504_c4_g1_i3,TRINITY_DN36957_c0_g3_i8,TRINITY_DN36957_c0_g3_i10"
GO:0006364,Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules.,BP,rRNA processing,1,TRINITY_DN28855_c8_g1_i1
GO:0006383,"The synthesis of RNA from a DNA template by RNA polymerase III, originating at an RNAP III promoter.",BP,transcription from RNA polymerase III promoter,1,TRINITY_DN37662_c2_g4_i5
GO:0006396,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.,BP,RNA processing,1,TRINITY_DN32262_c0_g2_i4
GO:0006397,Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.,BP,mRNA processing,3,"TRINITY_DN30182_c2_g3_i2,TRINITY_DN28855_c8_g1_i1,TRINITY_DN39424_c6_g1_i10"
GO:0006412,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",BP,translation,2,"TRINITY_DN35412_c0_g1_i12,TRINITY_DN27401_c0_g1_i1"
GO:0006417,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA.",BP,regulation of translation,1,TRINITY_DN31108_c4_g1_i4
GO:0006431,"The process of coupling methionine to methionyl-tRNA, catalyzed by methionyl-tRNA synthetase. In tRNA aminoacylation, the amino acid is first activated by linkage to AMP and then transferred to either the 2'- or the 3'-hydroxyl group of the 3'-adenosine residue of the tRNA.",BP,methionyl-tRNA aminoacylation,1,TRINITY_DN31996_c1_g1_i1
GO:0006436,"The process of coupling tryptophan to tryptophanyl-tRNA, catalyzed by tryptophanyl-tRNA synthetase. In tRNA aminoacylation, the amino acid is first activated by linkage to AMP and then transferred to either the 2'- or the 3'-hydroxyl group of the 3'-adenosine residue of the tRNA.",BP,tryptophanyl-tRNA aminoacylation,1,TRINITY_DN29416_c6_g1_i6
GO:0006457,The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.,BP,protein folding,1,TRINITY_DN39497_c5_g3_i1
GO:0006468,The process of introducing a phosphate group on to a protein.,BP,protein phosphorylation,1,TRINITY_DN36639_c5_g1_i1
GO:0006471,"The transfer, from NAD, of ADP-ribose to protein amino acids.",BP,protein ADP-ribosylation,1,TRINITY_DN39494_c1_g1_i6
GO:0006486,"A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.",BP,protein glycosylation,1,TRINITY_DN38028_c2_g1_i3
GO:0006509,The proteolytic cleavage of transmembrane proteins and release of their ectodomain (extracellular domain).,BP,membrane protein ectodomain proteolysis,1,TRINITY_DN38269_c0_g1_i2
GO:0006544,"The chemical reactions and pathways involving glycine, aminoethanoic acid.",BP,glycine metabolic process,3,"TRINITY_DN29851_c3_g1_i10,TRINITY_DN29851_c3_g1_i2,TRINITY_DN32759_c2_g2_i8"
GO:0006559,"The chemical reactions and pathways resulting in the breakdown of phenylalanine, 2-amino-3-phenylpropanoic acid.",BP,L-phenylalanine catabolic process,1,TRINITY_DN38821_c1_g2_i1
GO:0006563,"The chemical reactions and pathways involving L-serine, the L-enantiomer of serine, i.e. (2S)-2-amino-3-hydroxypropanoic acid.",BP,L-serine metabolic process,1,TRINITY_DN32759_c2_g2_i8
GO:0006572,"The chemical reactions and pathways resulting in the breakdown of tyrosine, an aromatic amino acid, 2-amino-3-(4-hydroxyphenyl)propanoic acid.",BP,tyrosine catabolic process,1,TRINITY_DN38821_c1_g2_i1
GO:0006605,"The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif.",BP,protein targeting,1,TRINITY_DN38144_c0_g1_i4
GO:0006614,"The targeting of proteins to a membrane that occurs during translation and is dependent upon two key components, the signal-recognition particle (SRP) and the SRP receptor. SRP is a cytosolic particle that transiently binds to the endoplasmic reticulum (ER) signal sequence in a nascent protein, to the large ribosomal unit, and to the SRP receptor in the ER membrane.",BP,SRP-dependent cotranslational protein targeting to membrane,1,TRINITY_DN28635_c3_g1_i3
GO:0006620,"The targeting of proteins to a membrane that occurs after their translation. Some secretory proteins exhibit posttranslational transport into the endoplasmic reticulum (ER) lumen: they are synthesized in their entirety on free cytosolic ribosomes and then released into the cytosol, where they are bound by chaperones which keep them in an unfolded state, and subsequently are translocated across the ER membrane.",BP,posttranslational protein targeting to endoplasmic reticulum membrane,1,TRINITY_DN28635_c3_g1_i3
GO:0006631,"The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.",BP,fatty acid metabolic process,2,"TRINITY_DN29851_c3_g1_i2,TRINITY_DN29851_c3_g1_i10"
GO:0006637,"The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group.",BP,acyl-CoA metabolic process,4,"TRINITY_DN29851_c3_g1_i10,TRINITY_DN29851_c3_g1_i2,TRINITY_DN29851_c3_g1_i4,TRINITY_DN33250_c6_g2_i6"
GO:0006662,"The chemical reactions and pathways involving glycerol ethers, any anhydride formed between two organic hydroxy compounds, one of which is glycerol.",BP,glycerol ether metabolic process,1,TRINITY_DN28504_c4_g1_i3
GO:0006699,"The chemical reactions and pathways resulting in the formation of bile acids, any of a group of steroid carboxylic acids occurring in bile.",BP,bile acid biosynthetic process,2,"TRINITY_DN29851_c3_g1_i2,TRINITY_DN29851_c3_g1_i10"
GO:0006777,"The chemical reactions and pathways resulting in the formation of the Mo-molybdopterin cofactor, essential for the catalytic activity of some enzymes. The cofactor consists of a mononuclear molybdenum (Mo) ion coordinated by one or two molybdopterin ligands.",BP,Mo-molybdopterin cofactor biosynthetic process,1,TRINITY_DN34583_c2_g1_i7
GO:0006811,"The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,ion transport,1,TRINITY_DN38545_c0_g5_i2
GO:0006814,"The directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,sodium ion transport,1,TRINITY_DN34575_c3_g3_i1
GO:0006821,"The directed movement of chloride into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",BP,chloride transport,1,TRINITY_DN39316_c4_g2_i2
GO:0006836,"The directed movement of a neurotransmitter into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Neurotransmitters are any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell.",BP,neurotransmitter transport,1,TRINITY_DN33404_c1_g1_i7
GO:0006855,The process in which a drug is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.,BP,drug transmembrane transport,1,TRINITY_DN31817_c5_g1_i4
GO:0006857,"The directed movement of oligopeptides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages.",BP,oligopeptide transport,1,TRINITY_DN30272_c0_g2_i3
GO:0006874,Any process involved in the maintenance of an internal steady state of calcium ions at the level of a cell.,BP,cellular calcium ion homeostasis,1,TRINITY_DN33435_c3_g2_i1
GO:0006878,Any process involved in the maintenance of an internal steady state of copper ions at the level of a cell.,BP,cellular copper ion homeostasis,1,TRINITY_DN31817_c5_g1_i4
GO:0006885,"Any process involved in the maintenance of an internal equilibrium of hydrogen ions, thereby modulating the internal pH, within an organism or cell.",BP,regulation of pH,1,TRINITY_DN34575_c3_g3_i1
GO:0006886,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",BP,intracellular protein transport,2,"TRINITY_DN38700_c1_g1_i1,TRINITY_DN32831_c1_g3_i3"
GO:0006887,"A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell.",BP,exocytosis,1,TRINITY_DN39588_c6_g1_i8
GO:0006888,"The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi.",BP,ER to Golgi vesicle-mediated transport,2,"TRINITY_DN38700_c1_g1_i1,TRINITY_DN39588_c6_g1_i8"
GO:0006914,The cellular catabolic process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation.,BP,autophagy,1,TRINITY_DN36639_c5_g1_i5
GO:0006915,"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died.",BP,apoptotic process,1,TRINITY_DN33684_c0_g3_i1
GO:0006953,An acute inflammatory response that involves non-antibody proteins whose concentrations in the plasma increase in response to infection or injury of homeothermic animals.,BP,acute-phase response,1,TRINITY_DN27574_c4_g1_i5
